baraj_adi,yil_2010,yil_2011,yil_2012,yil_2013,yil_2014,yil_2015,yil_2016,yil_2017,yil_2018,yil_2019,yil_2020,yil_2021
SULTANBAHCEDERE,39.4,42.5,31.9,48.1,92.3,100.0,28.8,100.0,92.8,71.2,59.1,26.0
KUZULUDERE,39.4,42.5,12.5,31.2,99.4,95.0,16.9,99.4,12.5,8.1,13.8,24.4
DUZDERE,81.0,16.6,55.0,55.0,76.5,100.0,29.4,100.0,100.0,35.3,58.8,35.3
ELMALIDERE,39.4,42.5,0.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,0.0
TAHTALI,47.6,48.4,46.7,64.5,52.7,70.9,53.8,47.2,31.7,60.4,42.1,57.7
BEYDAG,39.4,42.5,22.5,38.1,30.4,37.3,14.5,1.9,1.4,1.3,0.8,0.5
ZEYTINOVA,39.4,42.5,40.2,39.9,0.0,8.4,4.3,22.8,9.9,11.4,3.8,4.5
SEFERIHISAR,46.2,52.8,41.0,48.5,46.4,65.8,60.0,46.6,41.7,72.0,53.0,69.5
VALI KUTLU AKTAS,39.4,42.5,40.2,39.9,7.1,44.4,24.9,13.5,14.2,54.9,21.4,45.7
KAVAKDERE,71.8,64.9,62.8,65.9,60.7,65.5,42.1,32.4,14.8,65.2,33.6,71.5
URKMEZ,54.0,48.6,37.9,56.2,42.4,62.1,51.8,58.1,52.3,58.0,40.0,57.5
BALCOVA,17.2,17.7,28.3,35.1,15.4,8.1,16.5,13.9,24.5,10.6,15.0,54.5
GUZELHISAR,78.0,78.6,78.8,51.7,55.2,74.2,73.9,72.6,67.1,69.5,49.2,70.2
YORTANLI,39.4,42.5,79.2,49.0,57.0,65.2,60.2,41.0,20.2,47.3,14.0,28.9
CALTIKORU,39.4,42.5,44.5,83.3,53.7,49.8,58.3,62.2,52.2,50.3,23.3,31.2
KESTEL,51.1,48.1,47.4,38.1,0.2,34.0,15.4,36.9,42.1,42.7,5.3,31.7
MENZELET,49.2,64.2,68.6,44.5,12.5,47.7,29.0,15.0,24.6,58.5,60.6,54.8
SIR,35.1,8.8,17.9,15.4,6.3,22.1,13.0,13.0,28.0,33.9,16.5,11.8
ADATEPE,39.4,42.5,40.2,39.9,0.0,74.3,52.0,28.3,7.0,67.0,57.7,55.3
KANDIL,39.4,42.5,40.2,39.9,3.4,74.9,41.7,47.0,34.5,90.4,85.5,54.2
KARTALKAYA,3.7,6.7,12.3,11.1,18.8,21.0,17.8,21.9,22.0,22.0,21.6,18.4
KILAVUZLU,39.4,42.5,15.0,89.1,91.6,78.1,74.3,83.0,66.8,90.4,95.3,64.6
SARIGUZEL,39.4,42.5,40.2,39.9,43.6,57.8,68.1,80.7,90.7,93.4,82.0,53.5
ERMENEK,0.0,1.7,97.6,44.0,37.5,59.8,65.7,64.6,71.7,66.2,55.0,33.0
BALKUSAN,39.4,42.5,40.2,39.9,0.0,31.0,1.0,0.2,0.0,1.3,8.5,3.2
GODET,0.6,2.0,3.8,0.8,0.6,7.7,2.0,14.4,15.5,28.9,46.1,38.5
IBRALA,39.4,42.5,40.2,39.9,20.9,49.9,29.5,65.1,34.1,44.9,0.0,3.9
AYRANCI,0.6,3.2,2.4,2.2,2.9,2.1,4.4,2.9,1.7,3.7,0.8,0.1
ARPACAY ,39.4,42.5,0.0,1.4,0.0,3.3,11.3,70.0,70.0,70.0,70.0,7.7
BAYBURT,39.4,42.5,40.2,39.9,11.9,24.4,30.0,30.0,30.0,30.3,30.3,27.0
SEFAKOY,39.4,42.5,69.6,81.3,69.9,67.4,88.7,91.0,72.8,94.8,85.7,88.8
BEYLER,60.1,9.0,66.9,46.9,33.8,73.4,69.7,66.5,73.3,66.9,52.2,90.8
KULAKSIZLAR,0.0,88.3,82.1,88.5,87.7,86.5,78.1,63.9,64.0,41.4,30.5,45.3
KARADERE,0.0,57.7,27.7,19.0,14.9,34.3,37.0,27.7,17.3,21.3,8.6,91.9
KARACOMAK,59.6,64.8,50.7,36.6,39.5,73.5,76.4,58.5,63.9,72.3,49.9,33.6
GERMECTEPE,16.5,25.8,16.5,16.7,38.4,37.5,51.9,12.2,39.7,38.1,5.2,2.8
YAMULA,72.8,65.3,56.4,68.0,23.0,59.6,70.3,23.7,5.7,28.4,33.4,11.4
AGCASAR,4.9,1.7,40.2,39.9,2.6,22.3,13.2,28.2,12.6,22.1,24.3,4.4
SARIMSAKLI,23.8,29.8,16.9,15.7,24.3,28.4,6.1,5.7,2.8,1.3,3.0,0.0
SARIOGLAN,53.9,63.9,55.8,3.0,0.0,13.9,0.0,0.0,0.0,0.0,7.5,0.0
KOVALI,4.9,0.6,0.4,5.8,0.0,18.4,9.0,0.0,4.0,8.7,5.5,16.3
AKKOY,20.0,25.7,10.8,18.6,14.8,23.8,5.2,1.7,16.2,0.0,4.4,1.7
BAHCELIK,62.4,73.7,74.3,79.2,59.4,81.6,41.3,40.7,55.6,13.0,63.2,45.8
GUMUSOREN,39.4,42.5,40.2,39.9,29.1,47.5,0.0,24.0,65.2,26.8,52.9,56.8
